ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.520244,4.611088,6.49052,4.588913,15.98891,0.2655201,3.105228,0.1022847,NONE
-1,6.520148,4.611084,6.490616,4.588917,15.98892,0.2733161,3.105127,0.2044162,NONE
-1,6.520138,4.611078,6.490626,4.588923,15.98892,0.2752972,3.105107,0.3042066,NONE
-1,6.520134,4.611075,6.49063,4.588926,15.98893,0.2756834,3.105103,0.400486,NONE
-1,6.520125,4.611069,6.490639,4.588933,15.98893,0.275743,3.105103,0.5016022,NONE
-1,6.52012,4.611065,6.490644,4.588936,15.98894,0.2757456,3.105107,0.6035972,NONE
-1,6.520113,4.61106,6.490652,4.588941,15.98894,0.2757449,3.105114,0.7020382,NONE
-1,6.520107,4.611055,6.490658,4.588946,15.98895,0.2757435,3.105122,0.8040766,NONE
-1,6.5201,4.611051,6.490665,4.588951,15.98895,0.2757431,3.105117,0.9026138,NONE
-1,6.520093,4.611046,6.490671,4.588955,15.98895,0.2757435,3.105117,1.00383,NONE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105117,1.103219,NONE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757435,3.105117,1.204903,NONE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757435,3.105117,1.301398,NONE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757435,3.105117,1.404528,NONE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105117,1.501619,NONE
-1,6.520091,4.611044,6.490674,4.588957,15.98896,0.2757435,3.105117,1.604106,NONE
-1,6.520093,4.611046,6.490671,4.588955,15.98895,0.2757435,3.105117,1.700542,ACCELERATE
-1,6.520093,4.611046,6.490671,4.588955,15.98896,0.2757435,3.105117,1.804532,LEFT_ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105118,1.903527,LEFT_ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.275744,3.105123,2.003057,LEFT_ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757436,3.105125,2.100247,LEFT_ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757434,3.105125,2.201499,ACCELERATE
-1,6.520092,4.611045,6.490673,4.588956,15.98896,0.2757431,3.105127,2.301062,LEFT_ACCELERATE
